embedding_type,n_samples,bootstrap_iters,tau,tau_ci_lower,tau_ci_upper,spectral_gap,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette,silhouette_ci_lower,silhouette_ci_upper,trustworthiness,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw,id_raw_ci_lower,id_raw_ci_upper,id_diff,id_diff_ci_lower,id_diff_ci_upper,progression,model
cls_0.625,4000,0,0.6138423329159182,,,0.017029464,,,0.6437620558513976,,,,,,0.9757711345381526,,,,,,,,,SCC,conch
cls_0.875,4000,0,0.6628087350406505,,,0.04132235,,,0.6617641682429746,,,,,,0.970749548192771,,,,,,,,,SCC,conch
cls_1.0,4000,0,0.6647504626322349,,,0.069966555,,,0.6838092813198057,,,,,,0.9684325803212851,,,,,,,,,SCC,conch
final_embedding,4000,50,0.6371714238662911,0.5924437431005385,0.65741070623582,0.076058626,0.06631297618150711,0.07742713242769242,0.6741322410324048,0.6662661454776251,0.688070753341183,,,,0.9733828313253012,0.976132515060241,0.9799360291164658,,,,,,,SCC,conch
patch_mean_0.125,4000,0,0.06228222917575373,,,0.040328145,,,0.4261849223070755,,,,,,0.9849158634538152,,,,,,,,,SCC,gigapath
patch_mean_0.375,4000,0,0.11703717927365254,,,0.0547598,,,0.5076677995585295,,,,,,0.9831270080321285,,,,,,,,,SCC,gigapath
patch_mean_0.625,4000,0,0.5734307301004682,,,0.018622816,,,0.6201865968162605,,,,,,0.9596468875502008,,,,,,,,,SCC,gigapath
patch_mean_0.875,4000,0,0.5752128720610273,,,0.072689354,,,0.6352091896224747,,,,,,0.9688653112449799,,,,,,,,,SCC,gigapath
patch_mean_1.0,4000,0,0.5684763366495756,,,0.070721924,,,0.6370333763413248,,,,,,0.9701727911646586,,,,,,,,,SCC,gigapath
cls_0.125,4000,0,0.0685809019197914,,,0.02808696,,,0.41534403096076145,,,,,,0.9886673192771084,,,,,,,,,SCC,gigapath
cls_0.375,4000,0,0.28576839222976136,,,0.006182313,,,0.5293717927183614,,,,,,0.9834737951807229,,,,,,,,,SCC,gigapath
cls_0.625,4000,0,0.4803628499161157,,,0.004887998,,,0.6274958503375938,,,,,,0.977155170682731,,,,,,,,,SCC,gigapath
cls_0.875,4000,0,0.6389944510681403,,,0.0561862,,,0.6658101228179367,,,,,,0.9691690763052209,,,,,,,,,SCC,gigapath
cls_1.0,4000,0,0.5917924753471886,,,0.04612899,,,0.6591890347655104,,,,,,0.9721815763052208,,,,,,,,,SCC,gigapath
final_embedding,4000,50,0.5898786086316662,0.5669907633763576,0.6182792394430866,0.039484322,0.03272785544395447,0.04304727464914322,0.6489762710928298,0.6422187683025075,0.6645612022437786,,,,0.9715545180722892,0.9711536759538153,0.976490390311245,,,,,,,SCC,gigapath
patch_mean_0.125,4000,0,0.12818678175910592,,,0.017398298,,,0.4165083967311533,,,,,,0.9852051204819278,,,,,,,,,SCC,musk
patch_mean_0.375,4000,0,0.33523662767479745,,,0.057712257,,,0.5579220934984337,,,,,,0.9775930722891566,,,,,,,,,SCC,musk
patch_mean_0.625,4000,0,0.43704556803291994,,,0.05910188,,,0.5943157046033859,,,,,,0.9705402108433735,,,,,,,,,SCC,musk
patch_mean_0.875,4000,0,0.08007983268735108,,,0.031053007,,,0.5274848217840348,,,,,,0.9764990963855422,,,,,,,,,SCC,musk
patch_mean_1.0,4000,0,0.2727296329021301,,,0.027570486,,,0.5667871799547209,,,,,,0.9748950803212851,,,,,,,,,SCC,musk
cls_0.125,4000,0,0.15469725865443565,,,0.046403408,,,0.4349611235427952,,,,,,0.9908422690763052,,,,,,,,,SCC,musk
cls_0.375,4000,0,0.2307739705970801,,,0.009836197,,,0.4542351181546077,,,,,,0.966524046184739,,,,,,,,,SCC,musk
cls_0.625,4000,0,0.12320058652104618,,,0.09413713,,,0.4054850225138867,,,,,,0.9766977409638554,,,,,,,,,SCC,musk
cls_0.875,4000,0,0.646334356560481,,,0.075148225,,,0.6533290572106814,,,,,,0.9687316265060241,,,,,,,,,SCC,musk
cls_1.0,4000,0,0.6506451445477037,,,0.07238525,,,0.6676080007894212,,,,,,0.965644327309237,,,,,,,,,SCC,musk
final_embedding,4000,50,0.6413768961030613,0.5944781535758212,0.6684932355900645,0.07314396,0.06338326185941696,0.07520397156476974,0.6631283785258797,0.6573118919708533,0.6797884919892877,,,,0.9652038654618473,0.9674420481927711,0.9738117695783133,,,,,,,SCC,musk
patch_mean_0.125,4000,0,0.1613442475339703,,,0.027784407,,,0.4166964928840168,,,,,,0.9862896084337349,,,,,,,,,SCC,dinov2
patch_mean_0.375,4000,0,0.2725075969196603,,,0.044808865,,,0.49930739320141293,,,,,,0.9855877008032129,,,,,,,,,SCC,dinov2
patch_mean_0.625,4000,0,0.36224395397480114,,,0.08507967,,,0.5728183525953662,,,,,,0.9645212851405622,,,,,,,,,SCC,dinov2
patch_mean_0.875,4000,0,0.37930851968420937,,,0.091604054,,,0.5416549048377356,,,,,,0.9583054718875502,,,,,,,,,SCC,dinov2
patch_mean_1.0,4000,0,0.3269587193325157,,,0.063479364,,,0.5069047317699085,,,,,,0.9637675702811245,,,,,,,,,SCC,dinov2
cls_0.125,4000,0,0.20339215045276401,,,0.014936745,,,0.4404954109939844,,,,,,0.98797640562249,,,,,,,,,SCC,dinov2
cls_0.375,4000,0,0.17260848194382739,,,0.022325635,,,0.5121819397336941,,,,,,0.977292921686747,,,,,,,,,SCC,dinov2
cls_0.625,4000,0,0.4202310262450145,,,0.066767395,,,0.5738951714551732,,,,,,0.96589859437751,,,,,,,,,SCC,dinov2
cls_0.875,4000,0,0.4396324206156746,,,0.12820381,,,0.5484202488371231,,,,,,0.9668157630522088,,,,,,,,,SCC,dinov2
cls_1.0,4000,0,0.47060443868566537,,,0.08108461,,,0.5363705781327124,,,,,,0.9621516064257029,,,,,,,,,SCC,dinov2
register_mean_0.125,4000,0,0.07129594245651327,,,0.034134984,,,0.3690893204160838,,,,,,0.9910270080321285,,,,,,,,,SCC,dinov2
register_mean_0.375,4000,0,0.12032617755744064,,,0.07877749,,,0.4448663777311531,,,,,,0.9786826305220884,,,,,,,,,SCC,dinov2
register_mean_0.625,4000,0,0.4401061957371367,,,0.06491083,,,0.5668014616081256,,,,,,0.967820983935743,,,,,,,,,SCC,dinov2
register_mean_0.875,4000,0,0.4240092722080496,,,0.042027235,,,0.5342098488898019,,,,,,0.9538215361445783,,,,,,,,,SCC,dinov2
register_mean_1.0,4000,0,0.4457467469546901,,,0.056757033,,,0.5084998018081307,,,,,,0.9643008032128514,,,,,,,,,SCC,dinov2
final_embedding,4000,50,0.47623089914836403,0.14991574668166058,0.49331948412299753,0.08687973,0.07672798186540604,0.0911476731300354,0.5405018644213726,0.536609929029263,0.5615525993907176,,,,0.9614464859437751,0.9650292382028113,0.9695120092871485,,,,,,,SCC,dinov2
patch_mean_0.125,4000,0,0.3165982959086177,,,0.017744958,,,0.4216558713877706,,,,,,0.985738453815261,,,,,,,,,CRC-Conventional,virchow2
patch_mean_0.375,4000,0,0.36952756077811977,,,0.0264647,,,0.48449204614675545,,,,,,0.9768822791164659,,,,,,,,,CRC-Conventional,virchow2
patch_mean_0.625,4000,0,0.6871584125933041,,,0.018884659,,,0.6400424688148801,,,,,,0.9730671184738956,,,,,,,,,CRC-Conventional,virchow2
patch_mean_0.875,4000,0,0.6620777797008396,,,0.021513045,,,0.619823168744279,,,,,,0.9783901606425702,,,,,,,,,CRC-Conventional,virchow2
patch_mean_1.0,4000,0,0.3508395718462975,,,0.04417205,,,0.5242858746984664,,,,,,0.9890761044176707,,,,,,,,,CRC-Conventional,virchow2
cls_0.125,4000,0,0.35913337922852895,,,0.020895422,,,0.444482474389927,,,,,,0.9880453313253013,,,,,,,,,CRC-Conventional,virchow2
cls_0.375,4000,0,0.4403822036689575,,,0.017436922,,,0.49300053456942794,,,,,,0.9840818775100402,,,,,,,,,CRC-Conventional,virchow2
cls_0.625,4000,0,0.6843065231053074,,,0.023413002,,,0.6277239022873243,,,,,,0.9755130020080321,,,,,,,,,CRC-Conventional,virchow2
cls_0.875,4000,0,0.7360014229214409,,,0.012212753,,,0.6834845069364859,,,,,,0.9688147088353414,,,,,,,,,CRC-Conventional,virchow2
cls_1.0,4000,0,0.7333331537730237,,,0.018586278,,,0.6802700363388585,,,,,,0.9775824799196787,,,,,,,,,CRC-Conventional,virchow2
register_mean_0.125,4000,0,0.31875325655942555,,,0.039760947,,,0.41994656895279076,,,,,,0.9866481927710843,,,,,,,,,CRC-Conventional,virchow2
register_mean_0.375,4000,0,0.3922010883445598,,,0.0365088,,,0.4689054206252875,,,,,,0.9794162148594378,,,,,,,,,CRC-Conventional,virchow2
register_mean_0.625,4000,0,0.7068140613851673,,,0.015832782,,,0.636793441620024,,,,,,0.975258734939759,,,,,,,,,CRC-Conventional,virchow2
register_mean_0.875,4000,0,0.4947101498639663,,,0.016842663,,,0.6131540392641913,,,,,,0.9733595381526104,,,,,,,,,CRC-Conventional,virchow2
register_mean_1.0,4000,0,0.3666739390227685,,,0.01768881,,,0.5277273232449495,,,,,,0.9877540662650602,,,,,,,,,CRC-Conventional,virchow2
final_embedding,4000,50,0.7328357043310497,0.7217583981352503,0.7430290426066669,0.014347315,0.007564863562583924,0.037041383981704715,0.6808822859341693,0.6762483809820168,0.6921572445943894,,,,0.9767280120481928,0.9775859161646586,0.982043702309237,,,,,,,CRC-Conventional,virchow2
patch_mean_0.125,4000,0,0.18873590482981634,,,0.02671504,,,0.3890668047847228,,,,,,0.985242670682731,,,,,,,,,CRC-Conventional,uni2
patch_mean_0.375,4000,0,0.31621026799694674,,,0.04402381,,,0.4518483087776901,,,,,,0.9749264558232932,,,,,,,,,CRC-Conventional,uni2
patch_mean_0.625,4000,0,0.7020209777838875,,,0.012128413,,,0.6427076337058376,,,,,,0.9691840863453816,,,,,,,,,CRC-Conventional,uni2
patch_mean_0.875,4000,0,0.7311629114890318,,,0.040406287,,,0.6634798893608491,,,,,,0.9716440261044177,,,,,,,,,CRC-Conventional,uni2
patch_mean_1.0,4000,0,0.7084471122467172,,,0.04293883,,,0.6623438451973293,,,,,,0.9745582329317269,,,,,,,,,CRC-Conventional,uni2
cls_0.125,4000,0,0.1504202902887404,,,0.022383094,,,0.32820889482769877,,,,,,0.9875277108433735,,,,,,,,,CRC-Conventional,uni2
cls_0.375,4000,0,0.38326472961071467,,,0.02496928,,,0.47856279110308003,,,,,,0.9800329819277108,,,,,,,,,CRC-Conventional,uni2
cls_0.625,4000,0,0.5676337328845371,,,0.021832526,,,0.5962615833550242,,,,,,0.975983734939759,,,,,,,,,CRC-Conventional,uni2
cls_0.875,4000,0,0.712323393695035,,,0.010842204,,,0.692887660766853,,,,,,0.9712712349397591,,,,,,,,,CRC-Conventional,uni2
cls_1.0,4000,0,0.7373494617303524,,,0.022901118,,,0.6892996363739,,,,,,0.9605767068273092,,,,,,,,,CRC-Conventional,uni2
