embedding_type,n_samples,bootstrap_iters,tau,spectral_gap,neighborhood_purity,silhouette,trustworthiness,id_raw,id_diff,progression,model,tau_ci_lower,tau_ci_upper,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette_ci_lower,silhouette_ci_upper,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw_ci_lower,id_raw_ci_upper,id_diff_ci_lower,id_diff_ci_upper
register_mean_1.0,4000,0,0.6976708650051754,0.05825293,0.6963509832040032,0.10288875647850601,0.9753772088353414,15.832289635482088,4.348409023026332,SCC,uni2,,,,,,,,,,,,,,
final_embedding,4000,100,0.7073486544734213,0.086007774,0.6978635138255282,0.07843185301711894,0.9742937751004016,16.879469033944154,4.631215941469963,SCC,uni2,0.4873795493143161,0.7245305263785682,0.0745406374335289,0.08868037164211273,0.6925953698985822,0.7143540849507922,0.07109864706843409,0.08283028813823397,0.9749511445783132,0.979386311495984,15.466268859008181,17.5935367969175,0.6285531672227291,0.7152119687783681
patch_mean_0.125,4000,0,0.1224027407007599,0.015549958,0.43052551057506416,-0.0003689514137971042,0.9893206827309237,12.053918481252897,5.367096685027052,SCC,conch,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.31739786185600094,0.033441603,0.518596813486741,0.038797174824005236,0.9822798192771084,11.991145216181481,5.571484527530326,SCC,conch,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6089996644021193,0.052363157,0.6583428796568096,0.07265103547129326,0.9709974397590362,15.998139755287282,5.112438042787792,SCC,conch,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.6304029824121566,0.064749956,0.6799638495747992,0.09184791733278,0.9759890562248996,18.57573091677752,4.757416003437447,SCC,conch,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.6510397721178176,0.06896484,0.687606212621763,0.09641178714197551,0.9751666666666666,18.947296540376165,4.285440992186226,SCC,conch,,,,,,,,,,,,,,
cls_0.125,4000,0,0.14074427730831027,0.03887391,0.43820274134921855,0.002632438288396676,0.9828676204819277,11.439344972905621,4.006183658447767,SCC,conch,,,,,,,,,,,,,,
cls_0.375,4000,0,0.19311708642947037,0.0362882,0.5028942424447569,0.023238099644835784,0.9852571787148594,11.737994566625275,5.144894062091521,SCC,conch,,,,,,,,,,,,,,
cls_0.625,4000,0,0.6138423329159182,0.017029464,0.6437620558513976,0.05644665749256565,0.9762187751004016,16.726137695985663,5.368315568731041,SCC,conch,,,,,,,,,,,,,,
cls_0.875,4000,0,0.6628087350406505,0.04132235,0.6617641682429746,0.058942286606608316,0.9711269076305221,17.2338147432844,5.31955097416574,SCC,conch,,,,,,,,,,,,,,
cls_1.0,4000,0,0.6647504626322349,0.069966555,0.6838092813198057,0.08452082211369175,0.9688720381526105,17.860229426289262,5.028048343841367,SCC,conch,,,,,,,,,,,,,,
final_embedding,4000,100,0.6371714238662911,0.076058626,0.6741322410324048,0.10540577687051225,0.9743887550200803,16.33750296933655,4.834520809275013,SCC,conch,0.566458961415753,0.6563640303790057,0.06637919843196868,0.07742684930562974,0.6668846849033049,0.6919136836141161,0.0967416847062886,0.11513300947249075,0.9759201970381526,0.9804516578815261,15.39261193190755,17.12968935880754,0.6057872760864838,0.6801209203161221
patch_mean_0.125,4000,0,0.06228222917575373,0.040328145,0.4261849223070755,-0.08718035887918017,0.9844441265060241,13.019427020619242,4.3969672205413906,SCC,gigapath,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.11703717927365254,0.0547598,0.5076677995585295,-0.05329010924428681,0.981191967871486,12.400278312928895,5.225481413332853,SCC,gigapath,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.5734307301004682,0.018622816,0.6201865968162605,0.02224986823933425,0.9591839859437751,15.220371268230009,4.9055072258754695,SCC,gigapath,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.5752128720610273,0.072689354,0.6352091896224747,0.04674792885958013,0.9685313755020081,16.821882181528505,4.5801329337535215,SCC,gigapath,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.5684763366495756,0.070721924,0.6370333763413248,0.04970425174117966,0.9719335341365462,16.963244679296277,4.528171535388109,SCC,gigapath,,,,,,,,,,,,,,
cls_0.125,4000,0,0.0685809019197914,0.02808696,0.41534403096076145,-0.02545314306169017,0.9885985441767068,14.486259501453397,4.339130398490581,SCC,gigapath,,,,,,,,,,,,,,
cls_0.375,4000,0,0.28576839222976136,0.006182313,0.5293717927183614,0.027682987641748428,0.9832038654618473,12.690464702975476,4.565439215083861,SCC,gigapath,,,,,,,,,,,,,,
cls_0.625,4000,0,0.4803628499161157,0.004887998,0.6274958503375938,0.04429393321496272,0.9772678714859437,12.70675940628741,4.957132400803959,SCC,gigapath,,,,,,,,,,,,,,
cls_0.875,4000,0,0.6389944510681403,0.0561862,0.6658101228179367,0.05782506588977921,0.9695049698795181,16.654687480969745,4.775134060590498,SCC,gigapath,,,,,,,,,,,,,,
cls_1.0,4000,0,0.5917924753471886,0.04612899,0.6591890347655104,0.08333940308576682,0.9719076305220884,17.0742263372666,4.492928290881807,SCC,gigapath,,,,,,,,,,,,,,
final_embedding,4000,100,0.5898786086316662,0.039484322,0.6489762710928298,0.06973537078730095,0.97189859437751,16.9950640433591,5.099202570301488,SCC,gigapath,0.5678432060624957,0.6172557019889873,0.032750917971134184,0.04301259964704513,0.6434122614804295,0.6649392195607512,0.04947668528795205,0.07069972968957322,0.971615219628514,0.9769389984939759,15.398042150630234,17.77614592438469,0.612037815207564,0.6911738057083037
patch_mean_0.125,4000,0,0.12818678175910592,0.017398298,0.4165083967311533,-0.019683393220921695,0.9861470381526104,10.89216656579407,4.69693435707763,SCC,musk,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.33523662767479745,0.057712257,0.5579220934984337,0.03995673072954462,0.9782766064257028,16.568423537037305,5.331732064185439,SCC,musk,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.43704556803291994,0.05910188,0.5943157046033859,0.062137679578658477,0.9696006024096385,18.24444797561783,5.903339419739344,SCC,musk,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.08007983268735108,0.031053007,0.5274848217840348,-0.02210458506791034,0.9759206827309237,16.69468557321139,3.9501958022254087,SCC,musk,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.2727296329021301,0.027570486,0.5667871799547209,0.03791891510476345,0.974767218875502,18.237880739556857,3.9204166080741674,SCC,musk,,,,,,,,,,,,,,
cls_0.125,4000,0,0.15469725865443565,0.046403408,0.4349611235427952,-0.008253696693819316,0.9911041164658635,11.208230382408486,4.645439024364284,SCC,musk,,,,,,,,,,,,,,
cls_0.375,4000,0,0.2307739705970801,0.009836197,0.4542351181546077,0.008564552796730239,0.9677878012048193,21.072198689374666,6.270353808666675,SCC,musk,,,,,,,,,,,,,,
cls_0.625,4000,0,0.12320058652104618,0.09413713,0.4054850225138867,0.0038148963891639588,0.9779321285140562,19.7645418619982,5.993669931777542,SCC,musk,,,,,,,,,,,,,,
cls_0.875,4000,0,0.646334356560481,0.075148225,0.6533290572106814,0.08126775257680874,0.9664182730923695,18.346201877059297,5.357052263839628,SCC,musk,,,,,,,,,,,,,,
cls_1.0,4000,0,0.6506451445477037,0.07238525,0.6676080007894212,0.08518009926467761,0.9664280120481927,16.601260629534455,5.270818638120413,SCC,musk,,,,,,,,,,,,,,
final_embedding,4000,100,0.6413768961030613,0.07314396,0.6631283785258797,0.08434295969627993,0.9647425200803212,16.02372203035981,5.321039659803829,SCC,musk,0.4404471410958981,0.6685323792173125,0.06271405816078186,0.07614415735006332,0.6568166855288202,0.6800459333493061,0.07536169608579618,0.09375461116548262,0.9664481676706828,0.9736439081325301,15.965549471652416,17.807063613832177,0.6022500970471766,0.6903639766464535
patch_mean_0.125,4000,0,0.1613442475339703,0.027784407,0.4166964928840168,-0.009321006395932169,0.9843785140562249,9.741535903411414,4.585509449305547,SCC,dinov2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.2725075969196603,0.044808865,0.49930739320141293,0.027324847978037258,0.9850912650602409,12.406998559604514,5.352850628619144,SCC,dinov2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.36224395397480114,0.08507967,0.5728183525953662,0.036462940416640874,0.9633893574297189,23.28901537652778,5.834449154841941,SCC,dinov2,,,,,,,,,,,,,,
patch_mean_0.875,4000,0,0.37930851968420937,0.091604054,0.5416549048377356,0.027534136932164947,0.9587415662650602,25.764834682653497,5.595551943966696,SCC,dinov2,,,,,,,,,,,,,,
patch_mean_1.0,4000,0,0.3269587193325157,0.063479364,0.5069047317699085,0.018164929903648555,0.9641539156626506,23.426029058251604,5.3439161517301095,SCC,dinov2,,,,,,,,,,,,,,
cls_0.125,4000,0,0.20339215045276401,0.014936745,0.4404954109939844,-0.0028268598731016324,0.9876003012048192,8.1487205155481,3.7410279572474057,SCC,dinov2,,,,,,,,,,,,,,
cls_0.375,4000,0,0.17260848194382739,0.022325635,0.5121819397336941,0.012704895940839718,0.9775387048192771,13.634356444776222,4.482190834569426,SCC,dinov2,,,,,,,,,,,,,,
cls_0.625,4000,0,0.4202310262450145,0.066767395,0.5738951714551732,0.04098783443450692,0.9645795682730923,18.872034234934944,5.328075284460029,SCC,dinov2,,,,,,,,,,,,,,
cls_0.875,4000,0,0.4396324206156746,0.12820381,0.5484202488371231,0.028141875080986423,0.9668908132530121,22.014123281570658,5.654693908924131,SCC,dinov2,,,,,,,,,,,,,,
cls_1.0,4000,0,0.47060443868566537,0.08108461,0.5363705781327124,0.011716614997356416,0.9617575803212851,22.338583083855625,5.744833504943355,SCC,dinov2,,,,,,,,,,,,,,
register_mean_0.125,4000,0,0.07129594245651327,0.034134984,0.3690893204160838,-0.0779596964425352,0.9912816767068273,9.160640885291848,3.339105271103051,SCC,dinov2,,,,,,,,,,,,,,
register_mean_0.375,4000,0,0.12032617755744064,0.07877749,0.4448663777311531,-0.01579520416367653,0.9773599899598393,13.64275074422297,4.401258448295396,SCC,dinov2,,,,,,,,,,,,,,
register_mean_0.625,4000,0,0.4401061957371367,0.06491083,0.5668014616081256,0.03393411033143903,0.9652053212851406,20.42270892804278,5.688906383552866,SCC,dinov2,,,,,,,,,,,,,,
register_mean_0.875,4000,0,0.4240092722080496,0.042027235,0.5342098488898019,0.0255550786137067,0.9565573795180723,25.75470580349099,5.162517876562752,SCC,dinov2,,,,,,,,,,,,,,
register_mean_1.0,4000,0,0.4457467469546901,0.056757033,0.5084998018081307,0.0219406883434481,0.9656601907630522,24.572629869319986,5.544449575253419,SCC,dinov2,,,,,,,,,,,,,,
final_embedding,4000,100,0.47623089914836403,0.08687973,0.5405018644213726,0.011804711567343251,0.9630201305220883,23.308184966430854,5.462594598598502,SCC,dinov2,0.11630141974865316,0.49534081737982405,0.07580177783966065,0.09214798510074615,0.5360458524029911,0.5570851293134463,0.003567008845604674,0.023034982402498776,0.9640547452309237,0.9713397515060241,21.203892572167575,23.552916451515646,0.5891903444778531,0.6794393092780746
patch_mean_0.125,4000,0,0.3165982959086177,0.017744958,0.4216558713877706,-0.031195263396978142,0.9867525602409638,14.822656211166226,4.511094712736909,CRC-Conventional,virchow2,,,,,,,,,,,,,,
patch_mean_0.375,4000,0,0.36952756077811977,0.0264647,0.48449204614675545,0.014128260900165076,0.9783277610441767,12.842022387518114,5.139626124152453,CRC-Conventional,virchow2,,,,,,,,,,,,,,
patch_mean_0.625,4000,0,0.6871584125933041,0.018884659,0.6400424688148801,0.06857473670309198,0.9733750502008032,14.637607701363883,4.680988943105251,CRC-Conventional,virchow2,,,,,,,,,,,,,,
