slide_id,patch_id,class_label,pseudotime,pseudotime_norm,total_cells,mean_confidence,cancer_cells,lymphocytes,fibroblasts,plasmocytes,eosinophils,neutrophils,macrophages,smooth_muscle,endothelial,red_blood_cells,epithelial_normal,mitotic_figures,apoptotic_bodies,cancer_cells_prop,lymphocytes_prop,fibroblasts_prop,plasmocytes_prop,eosinophils_prop,neutrophils_prop,macrophages_prop,smooth_muscle_prop,endothelial_prop,red_blood_cells_prop,epithelial_normal_prop,mitotic_figures_prop,apoptotic_bodies_prop
0026,0303910,Adenoma low grade,0.03968984633684158,0.03968984633684158,38,0.966061617842187,23,2,9,0,0,0,0,0,4,0,0,0,0,0.6052631578947368,0.05263157894736842,0.23684210526315788,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0
0026,0427814,Adenoma low grade,0.04749714955687523,0.04749714955687523,16,0.9196435238118432,7,1,5,0,0,0,2,0,1,0,0,0,0,0.4375,0.0625,0.3125,0.0,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0,0.0
0026,0536425,Adenoma low grade,0.0403292216360569,0.0403292216360569,25,0.9803723415282876,17,2,3,3,0,0,0,0,0,0,0,0,0,0.68,0.08,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026,0549174,Adenoma low grade,0.04912596568465233,0.04912596568465233,6,0.9999999881421134,4,0,0,0,0,0,0,0,1,0,0,0,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
0026,0813927,Adenoma low grade,0.05583503097295761,0.05583503097295761,13,0.8997594694880393,11,0,1,0,0,0,0,0,1,0,0,0,0,0.8461538461538461,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0
0026,0878912,Adenoma low grade,0.07917989790439606,0.07917989790439606,25,0.9989278715087324,25,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0026,1014529,Adenoma low grade,0.04923426732420921,0.04923426732420921,20,0.9889432800260292,17,0,1,0,0,0,2,0,0,0,0,0,0,0.85,0.0,0.05,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0
0049,0049590,Adenoma low grade,0.041612401604652405,0.041612401604652405,44,0.9188298908438184,14,3,10,0,0,0,1,0,0,0,16,0,0,0.3181818181818182,0.06818181818181818,0.22727272727272727,0.0,0.0,0.0,0.022727272727272728,0.0,0.0,0.0,0.36363636363636365,0.0,0.0
0049,0213440,Adenoma low grade,0.046747878193855286,0.046747878193855286,23,0.8975472152720892,2,0,0,0,0,0,0,0,2,0,19,0,0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.8260869565217391,0.0,0.0
0049,0266298,Adenoma low grade,0.03555868938565254,0.03555868938565254,24,0.8645075841411876,3,0,3,0,0,0,0,0,1,0,17,0,0,0.125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.7083333333333334,0.0,0.0
