embedding_type,n_samples,bootstrap_iters,tau,tau_ci_lower,tau_ci_upper,spectral_gap,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,silhouette,silhouette_ci_lower,silhouette_ci_upper,trustworthiness,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw,id_raw_ci_lower,id_raw_ci_upper,id_diff,id_diff_ci_lower,id_diff_ci_upper,progression,model
patch_mean_0.125,4000,0,0.14858697389059242,,,0.003955245,,,0.4450261507196017,,,0.005131176180957569,,,0.989902359437751,,,12.491779982905928,,,5.008795156046397,,,SCC,virchow2
patch_mean_0.375,4000,0,0.31682683066471934,,,0.004555583,,,0.5224115451561369,,,0.04384655409285036,,,0.9840207831325302,,,12.079215453218648,,,5.807450997216234,,,SCC,virchow2
patch_mean_0.625,4000,0,0.6697239053163047,,,0.052240193,,,0.6673982228225844,,,0.08017397462498552,,,0.972093373493976,,,12.990219261747871,,,5.048675051683232,,,SCC,virchow2
patch_mean_0.875,4000,0,0.5750245963702677,,,0.026254952,,,0.651145238461088,,,0.09619155106803905,,,0.9842897088353414,,,12.280682418999783,,,4.170237286019689,,,SCC,virchow2
patch_mean_1.0,4000,0,0.3858244433382485,,,0.01273638,,,0.5786517243206207,,,0.048238508288177454,,,0.9876678714859438,,,11.255831150620354,,,3.887908311410524,,,SCC,virchow2
cls_0.125,4000,0,0.253742233379336,,,0.01664728,,,0.46233005879667155,,,-0.005475524900104664,,,0.9881035140562249,,,12.979427671855078,,,4.439998741649687,,,SCC,virchow2
cls_0.375,4000,0,0.3171974962653277,,,0.007558584,,,0.5294184669294859,,,0.027615509936264722,,,0.9834781626506024,,,10.576980497650199,,,4.806023327447061,,,SCC,virchow2
cls_0.625,4000,0,0.6143616476940261,,,0.028920233,,,0.6595380541557478,,,0.06566410987965093,,,0.9773900602409639,,,11.2821854757253,,,5.0344267124535245,,,SCC,virchow2
cls_0.875,4000,0,0.7239128404437685,,,0.068021655,,,0.7257136523446436,,,0.10612001553170194,,,0.9775386044176707,,,12.371780883787808,,,4.749195597120985,,,SCC,virchow2
cls_1.0,4000,0,0.7154708240474672,,,0.057043016,,,0.7366363902027684,,,0.13214277531334853,,,0.983191516064257,,,12.461485448743538,,,4.46840660014406,,,SCC,virchow2
register_mean_0.125,4000,0,0.14132934180858323,,,0.01598227,,,0.4476170250506782,,,0.011792738810698429,,,0.9841070783132531,,,17.128446182813633,,,4.073467594103749,,,SCC,virchow2
register_mean_0.375,4000,0,0.1544420475699572,,,0.03285128,,,0.511997246765122,,,0.030088409446876834,,,0.9805204819277108,,,13.563690077366862,,,5.258578967875363,,,SCC,virchow2
register_mean_0.625,4000,0,0.6168289739835651,,,0.069571495,,,0.6614519236426436,,,0.07333983309732588,,,0.9763341867469879,,,13.172278549181513,,,4.6609086382649885,,,SCC,virchow2
register_mean_0.875,4000,0,0.5191247259586166,,,0.01180774,,,0.6417824489092065,,,0.07372912412043803,,,0.9841894076305221,,,12.17333069865008,,,3.9589916177835214,,,SCC,virchow2
register_mean_1.0,4000,0,0.3818526430055525,,,0.017699838,,,0.5868645031042068,,,0.04438521079805505,,,0.9878743473895583,,,10.945837035464088,,,4.23328267334299,,,SCC,virchow2
final_embedding,4000,100,0.7171961625482935,0.7032429342465566,0.7300396600646927,0.054039836,0.046358489990234376,0.05559467524290083,0.7352806281809675,0.7294246140080703,0.7494717931868758,0.13895168283011478,0.1277954823479953,0.14547712242536762,0.9839578815261044,0.9834020582329317,0.9864140386546184,12.01258185567054,11.304474485624702,12.747109796759256,4.509616025707645,0.5954880099228393,0.6868027161505377,SCC,virchow2
patch_mean_0.125,4000,0,0.09509296672696203,,,0.06551939,,,0.40705958360928646,,,-0.040352903001644715,,,0.9883847891566265,,,10.362341388727167,,,4.150417305425998,,,SCC,uni2
patch_mean_0.375,4000,0,0.2177304160573785,,,0.014138162,,,0.49830329198341766,,,0.026838514396683597,,,0.9851237449799197,,,13.466451223989877,,,5.515502363217863,,,SCC,uni2
patch_mean_0.625,4000,0,0.5954538039817564,,,0.07530314,,,0.6511831589046233,,,0.08174350964836798,,,0.9690317269076305,,,15.59100156561529,,,4.673280911436733,,,SCC,uni2
patch_mean_0.875,4000,0,0.668324954984458,,,0.037662506,,,0.6871032942896794,,,0.113093963109369,,,0.9817490963855422,,,14.620298865899521,,,4.160681136509423,,,SCC,uni2
patch_mean_1.0,4000,0,0.6286401116677035,,,0.038027525,,,0.67842113016649,,,0.09264563988467008,,,0.9789417168674699,,,14.407135548524678,,,4.234595618715639,,,SCC,uni2
cls_0.125,4000,0,0.0014159842952310097,,,0.026617885,,,0.3408756655001232,,,-0.06723171797759972,,,0.9919079317269076,,,9.63924429406335,,,3.869186731697633,,,SCC,uni2
cls_0.375,4000,0,0.31228121620249366,,,0.014154911,,,0.5188962560764968,,,0.011927920079704429,,,0.9827666666666667,,,13.663671183722416,,,4.793887851067719,,,SCC,uni2
cls_0.625,4000,0,0.5809034427566556,,,0.029537797,,,0.6257750264452437,,,0.032993613262645875,,,0.9755907630522088,,,14.15110900875043,,,5.117019190020401,,,SCC,uni2
cls_0.875,4000,0,0.7186435266066666,,,0.0863837,,,0.6962002878932136,,,0.07778732126847528,,,0.9692269578313253,,,14.050594650695809,,,4.6255394394231155,,,SCC,uni2
cls_1.0,4000,0,0.697761332359115,,,0.07725835,,,0.6960185501114188,,,0.06473876788158545,,,0.9632110943775101,,,16.61160561298144,,,4.485218176462277,,,SCC,uni2
register_mean_0.125,4000,0,-0.0007308725136868796,,,0.024341643,,,0.34014216465576136,,,-0.07377295670069009,,,0.9927404618473895,,,9.838727882759882,,,3.846979427594102,,,SCC,uni2
register_mean_0.375,4000,0,0.2398873003600463,,,0.014253855,,,0.48391742484574585,,,0.006860556105553858,,,0.9810505020080321,,,16.834648024133273,,,5.276343333151017,,,SCC,uni2
register_mean_0.625,4000,0,0.6041098001378312,,,0.0809685,,,0.6345199606120959,,,0.04572289130354383,,,0.9692651104417671,,,15.828960084791973,,,5.3555163250663895,,,SCC,uni2
register_mean_0.875,4000,0,0.7036155298837262,,,0.06932348,,,0.69512257919817,,,0.10385274534991058,,,0.9712793172690763,,,16.63513174384949,,,4.321928455103973,,,SCC,uni2
register_mean_1.0,4000,0,0.6976708650051754,,,0.05825293,,,0.6963509832040032,,,0.10353118886676904,,,0.975137248995984,,,16.19200379440364,,,4.070837096076294,,,SCC,uni2
final_embedding,4000,100,0.7073486544734213,0.4873795493143161,0.7245305263785682,0.086007774,0.0745406374335289,0.08868037164211273,0.6978635138255282,0.6925953698985822,0.7143540849507922,0.07492179776070564,0.06924363314792116,0.0833259754013119,0.974820983935743,0.9749837989457831,0.9789999987449799,16.70350343007521,15.598370671331377,17.26706193338853,4.458674191058912,0.6270774042832721,0.712347628977227,SCC,uni2
patch_mean_0.125,4000,0,0.1224027407007599,,,0.015549958,,,0.43052551057506416,,,-0.0019931437984504067,,,0.9898359939759036,,,12.050337255093938,,,5.487878129176335,,,SCC,conch
patch_mean_0.375,4000,0,0.31739786185600094,,,0.033441603,,,0.518596813486741,,,0.03821919626227697,,,0.983160592369478,,,12.03836013750414,,,5.690142862650172,,,SCC,conch
patch_mean_0.625,4000,0,0.6089996644021193,,,0.052363157,,,0.6583428796568096,,,0.07407471657159112,,,0.9718901104417671,,,16.43045774406975,,,5.0645857612284315,,,SCC,conch
patch_mean_0.875,4000,0,0.6304029824121566,,,0.064749956,,,0.6799638495747992,,,0.09384101328134081,,,0.9760958333333334,,,17.98260210693679,,,4.719003586547494,,,SCC,conch
patch_mean_1.0,4000,0,0.6510397721178176,,,0.06896484,,,0.687606212621763,,,0.09947208958474107,,,0.9763821285140563,,,18.951078575037617,,,4.627978756172372,,,SCC,conch
cls_0.125,4000,0,0.14074427730831027,,,0.03887391,,,0.43820274134921855,,,0.00180598428393336,,,0.9825754016064256,,,11.206068954614786,,,4.275947369327499,,,SCC,conch
cls_0.375,4000,0,0.19311708642947037,,,0.0362882,,,0.5028942424447569,,,0.028559175516184795,,,0.9859486445783132,,,12.41556349841181,,,5.390693883170399,,,SCC,conch
cls_0.625,4000,0,0.6138423329159182,,,0.017029464,,,0.6437620558513976,,,0.056020398593059156,,,0.9747524598393574,,,15.642251137092899,,,5.222691928652361,,,SCC,conch
cls_0.875,4000,0,0.6628087350406505,,,0.04132235,,,0.6617641682429746,,,0.05743383340427779,,,0.9711321787148595,,,17.658279107107326,,,5.007904401331532,,,SCC,conch
cls_1.0,4000,0,0.6647504626322349,,,0.069966555,,,0.6838092813198057,,,0.08809321308721813,,,0.9696434738955824,,,18.10299793255025,,,4.789229442775625,,,SCC,conch
final_embedding,4000,100,0.6371714238662911,0.566458961415753,0.6563640303790057,0.076058626,0.06637919843196868,0.07742684930562974,0.6741322410324048,0.6668846849033049,0.6919136836141161,0.10694380314619176,0.09630267566428044,0.11463630832914695,0.9736481425702811,0.9759162412148594,0.9800264231927711,16.395373986651474,15.219468319420258,16.994123545295192,4.960292478778206,0.6003400171582645,0.69356532862845,SCC,conch
patch_mean_0.125,4000,0,0.06228222917575373,,,0.040328145,,,0.4261849223070755,,,-0.09510489795717923,,,0.9848483935742972,,,12.771378241896986,,,4.596754131298482,,,SCC,gigapath
patch_mean_0.375,4000,0,0.11703717927365254,,,0.0547598,,,0.5076677995585295,,,-0.04141047628669757,,,0.9809686244979919,,,11.941822131386731,,,5.103867681855474,,,SCC,gigapath
patch_mean_0.625,4000,0,0.5734307301004682,,,0.018622816,,,0.6201865968162605,,,0.03066187714734797,,,0.9601472389558233,,,14.766837899408552,,,4.822652009711467,,,SCC,gigapath
patch_mean_0.875,4000,0,0.5752128720610273,,,0.072689354,,,0.6352091896224747,,,0.049230988082233446,,,0.9693095381526105,,,17.60230182341069,,,4.5710032552478195,,,SCC,gigapath
patch_mean_1.0,4000,0,0.5684763366495756,,,0.070721924,,,0.6370333763413248,,,0.045307605155002866,,,0.9709057228915663,,,17.385865958876384,,,4.41798165882274,,,SCC,gigapath
cls_0.125,4000,0,0.0685809019197914,,,0.02808696,,,0.41534403096076145,,,-0.026925369528957944,,,0.9889785140562249,,,14.560898016969556,,,4.237585086581333,,,SCC,gigapath
cls_0.375,4000,0,0.28576839222976136,,,0.006182313,,,0.5293717927183614,,,0.021406044622740778,,,0.9834902610441767,,,12.670149890435114,,,4.620475461883122,,,SCC,gigapath
cls_0.625,4000,0,0.4803628499161157,,,0.004887998,,,0.6274958503375938,,,0.05086463803836823,,,0.9769795180722891,,,12.865160280541744,,,4.924051561121674,,,SCC,gigapath
cls_0.875,4000,0,0.6389944510681403,,,0.0561862,,,0.6658101228179367,,,0.061009194955333385,,,0.9695114959839357,,,15.451783324707796,,,4.759298876859953,,,SCC,gigapath
cls_1.0,4000,0,0.5917924753471886,,,0.04612899,,,0.6591890347655104,,,0.0766083793815889,,,0.9736538152610442,,,16.741101553257508,,,4.500329831162996,,,SCC,gigapath
final_embedding,4000,100,0.5898786086316662,0.5678432060624957,0.6172557019889873,0.039484322,0.032750917971134184,0.04301259964704513,0.6489762710928298,0.6434122614804295,0.6649392195607512,0.056882619730926294,0.051326012545290525,0.07310355215557272,0.9728087851405622,0.9712918649598394,0.9766885441767068,16.846700382558424,15.429223283183934,17.508478071666218,4.870598065275499,0.6185659868668015,0.7017592679461281,SCC,gigapath
patch_mean_0.125,4000,0,0.12818678175910592,,,0.017398298,,,0.4165083967311533,,,-0.014271338651128528,,,0.9851487449799197,,,10.22475272017304,,,4.474909744425361,,,SCC,musk
patch_mean_0.375,4000,0,0.33523662767479745,,,0.057712257,,,0.5579220934984337,,,0.04489198792541015,,,0.9780638554216867,,,16.961393020445485,,,5.3394142046537505,,,SCC,musk
patch_mean_0.625,4000,0,0.43704556803291994,,,0.05910188,,,0.5943157046033859,,,0.050299617334864974,,,0.9701370481927711,,,16.999968395626944,,,5.660043623400652,,,SCC,musk
patch_mean_0.875,4000,0,0.08007983268735108,,,0.031053007,,,0.5274848217840348,,,-0.03253790191264868,,,0.9769862449799197,,,18.50026112387539,,,3.8397243581924183,,,SCC,musk
patch_mean_1.0,4000,0,0.2727296329021301,,,0.027570486,,,0.5667871799547209,,,0.04574387043973917,,,0.9726657630522089,,,18.473609165080106,,,4.060247702139734,,,SCC,musk
cls_0.125,4000,0,0.15469725865443565,,,0.046403408,,,0.4349611235427952,,,-0.011252790199704236,,,0.9908626506024096,,,11.430258880525644,,,4.663005863601698,,,SCC,musk
cls_0.375,4000,0,0.2307739705970801,,,0.009836197,,,0.4542351181546077,,,0.010114022488120359,,,0.9682608433734939,,,21.329490321927917,,,5.946866928465495,,,SCC,musk
cls_0.625,4000,0,0.12320058652104618,,,0.09413713,,,0.4054850225138867,,,0.007820578026734202,,,0.9761233433734939,,,19.777530169380952,,,6.2532691728558785,,,SCC,musk
cls_0.875,4000,0,0.646334356560481,,,0.075148225,,,0.6533290572106814,,,0.07931230318080199,,,0.9667927208835342,,,18.286036246645352,,,5.402184689687088,,,SCC,musk
cls_1.0,4000,0,0.6506451445477037,,,0.07238525,,,0.6676080007894212,,,0.08705135489702491,,,0.9654744979919678,,,17.531404901939485,,,5.283523358194993,,,SCC,musk
final_embedding,4000,100,0.6413768961030613,0.4404471410958981,0.6685323792173125,0.07314396,0.06271405816078186,0.07614415735006332,0.6631283785258797,0.6568166855288202,0.6800459333493061,0.07687415037860464,0.0776477535268604,0.09247632820025595,0.96553890562249,0.9667575564759037,0.973631795933735,17.219387710873296,15.711212869401237,17.639626329092128,5.73509612001452,0.5988762918228101,0.6772812672397983,SCC,musk
patch_mean_0.125,4000,0,0.1613442475339703,,,0.027784407,,,0.4166964928840168,,,-0.015713934032574067,,,0.984889156626506,,,9.513481981515818,,,4.782771504306812,,,SCC,dinov2
patch_mean_0.375,4000,0,0.2725075969196603,,,0.044808865,,,0.49930739320141293,,,0.035956579649343595,,,0.9850915662650602,,,12.712687735715509,,,5.593079663465731,,,SCC,dinov2
patch_mean_0.625,4000,0,0.36224395397480114,,,0.08507967,,,0.5728183525953662,,,0.03342625630581854,,,0.9641745983935743,,,23.736436210101406,,,5.564206759661708,,,SCC,dinov2
patch_mean_0.875,4000,0,0.37930851968420937,,,0.091604054,,,0.5416549048377356,,,0.03369707284230634,,,0.9558801204819277,,,27.41612468607342,,,5.804420293522858,,,SCC,dinov2
patch_mean_1.0,4000,0,0.3269587193325157,,,0.063479364,,,0.5069047317699085,,,0.021854496961814598,,,0.9646205823293172,,,23.718683172381112,,,5.375844639265676,,,SCC,dinov2
cls_0.125,4000,0,0.20339215045276401,,,0.014936745,,,0.4404954109939844,,,0.0019467836101038137,,,0.987936797188755,,,8.375599853725626,,,3.8601079800843343,,,SCC,dinov2
cls_0.375,4000,0,0.17260848194382739,,,0.022325635,,,0.5121819397336941,,,0.016534532715299033,,,0.9780015562248996,,,12.969620321810275,,,4.461633543980248,,,SCC,dinov2
cls_0.625,4000,0,0.4202310262450145,,,0.066767395,,,0.5738951714551732,,,0.03481568401046612,,,0.96640140562249,,,18.684289778406296,,,5.580886789815687,,,SCC,dinov2
cls_0.875,4000,0,0.4396324206156746,,,0.12820381,,,0.5484202488371231,,,0.02798640048744504,,,0.9657117469879518,,,22.715021841977606,,,5.814736587300308,,,SCC,dinov2
cls_1.0,4000,0,0.47060443868566537,,,0.08108461,,,0.5363705781327124,,,0.016527530943237747,,,0.9609288152610442,,,23.333186967830553,,,5.581211716767097,,,SCC,dinov2
register_mean_0.125,4000,0,0.07129594245651327,,,0.034134984,,,0.3690893204160838,,,-0.07572704896978186,,,0.991106124497992,,,8.903830683280574,,,3.4933045022636873,,,SCC,dinov2
register_mean_0.375,4000,0,0.12032617755744064,,,0.07877749,,,0.4448663777311531,,,-0.015926603189511317,,,0.9770565763052209,,,13.171010838033887,,,4.451938712420258,,,SCC,dinov2
register_mean_0.625,4000,0,0.4401061957371367,,,0.06491083,,,0.5668014616081256,,,0.04193619300247821,,,0.9665452309236948,,,20.856970554211212,,,5.563900565830783,,,SCC,dinov2
register_mean_0.875,4000,0,0.4240092722080496,,,0.042027235,,,0.5342098488898019,,,0.031120399658772648,,,0.9556929718875502,,,25.711106883367414,,,5.064376009560346,,,SCC,dinov2
register_mean_1.0,4000,0,0.4457467469546901,,,0.056757033,,,0.5084998018081307,,,0.02183205380510399,,,0.9661654618473896,,,23.894834438688967,,,5.269978163861809,,,SCC,dinov2
final_embedding,4000,100,0.47623089914836403,0.11630141974865316,0.49534081737982405,0.08687973,0.07580177783966065,0.09214798510074615,0.5405018644213726,0.5360458524029911,0.5570851293134463,0.013392732778739109,0.005253289095491132,0.021497265519732776,0.9614816265060241,0.9640703263052209,0.9700406488453814,22.703253721700094,21.261895077090504,23.25300176893508,5.692506164637153,0.5943905653534249,0.6732273958221525,SCC,dinov2
patch_mean_0.125,4000,0,0.3165982959086177,,,0.017744958,,,0.4216558713877706,,,-0.033758862645423396,,,0.986994327309237,,,14.784631316779082,,,4.294362018696339,,,CRC-Conventional,virchow2
patch_mean_0.375,4000,0,0.36952756077811977,,,0.0264647,,,0.48449204614675545,,,0.008506473355350914,,,0.9765501506024097,,,11.763210411496381,,,5.064484247043684,,,CRC-Conventional,virchow2
patch_mean_0.625,4000,0,0.6871584125933041,,,0.018884659,,,0.6400424688148801,,,0.06439845731946306,,,0.9734320783132531,,,14.490486016301597,,,4.599727985402717,,,CRC-Conventional,virchow2
patch_mean_0.875,4000,0,0.6620777797008396,,,0.021513045,,,0.619823168744279,,,0.029309049369050603,,,0.9777114959839357,,,13.329671820163828,,,4.350664808400965,,,CRC-Conventional,virchow2
patch_mean_1.0,4000,0,0.3508395718462975,,,0.04417205,,,0.5242858746984664,,,0.004364832531922591,,,0.9885969879518073,,,11.669989233141951,,,4.067433711430998,,,CRC-Conventional,virchow2
cls_0.125,4000,0,0.35913337922852895,,,0.020895422,,,0.444482474389927,,,-0.03088036948769367,,,0.9883747991967872,,,14.980476382983959,,,4.352863732795255,,,CRC-Conventional,virchow2
cls_0.375,4000,0,0.4403822036689575,,,0.017436922,,,0.49300053456942794,,,-0.00784953523606114,,,0.9848181224899598,,,10.853127819175153,,,4.360601534662068,,,CRC-Conventional,virchow2
cls_0.625,4000,0,0.6843065231053074,,,0.023413002,,,0.6277239022873243,,,0.047366670059214216,,,0.9763116967871486,,,12.573752178594004,,,4.606658372632374,,,CRC-Conventional,virchow2
cls_0.875,4000,0,0.7360014229214409,,,0.012212753,,,0.6834845069364859,,,0.08998278187489013,,,0.9679650100401607,,,14.065436361168226,,,4.466450954259696,,,CRC-Conventional,virchow2
cls_1.0,4000,0,0.7333331537730237,,,0.018586278,,,0.6802700363388585,,,0.08946527648804979,,,0.9771481425702812,,,13.894104152741603,,,4.052022665704329,,,CRC-Conventional,virchow2
register_mean_0.125,4000,0,0.31875325655942555,,,0.039760947,,,0.41994656895279076,,,-0.011223642691964575,,,0.9871371485943775,,,19.91078971145626,,,4.004250673418901,,,CRC-Conventional,virchow2
