model,n_samples,tau,tau_ci_lower,tau_ci_upper,spectral_gap,spectral_gap_ci_lower,spectral_gap_ci_upper,neighborhood_purity,neighborhood_purity_ci_lower,neighborhood_purity_ci_upper,trustworthiness,trustworthiness_ci_lower,trustworthiness_ci_upper,id_raw,id_raw_ci_lower,id_raw_ci_upper,id_diff,id_diff_ci_lower,id_diff_ci_upper,progression
virchow2,4000,0.7171961625482935,0.7104273770256394,0.7238952484438715,0.054039836,0.04637126922607422,0.054333043098449704,0.7352806281809675,0.735144695793407,0.7465463502798445,0.9828617469879518,0.9839792206325302,0.986157671937751,12.31808594274533,,,4.498482841188215,0.5535810322837746,0.594011104237618,SCC
uni2,4000,0.7073486544734213,0.4967409933340722,0.71992397149791,0.086007774,0.07519019693136215,0.08664589077234268,0.6978635138255282,0.6996856194171163,0.7094120780867863,0.9751143072289157,0.975199171686747,0.9792413817771085,16.040856344371484,,,4.754146093604855,0.5727688265641436,0.6010379313247006,SCC
conch,4000,0.6371714238662911,0.6250821477848703,0.6563615734514149,0.076058626,0.06858229488134385,0.07813201993703843,0.6741322410324048,0.6712705288600358,0.687833392410242,0.9737791666666666,0.9762684048694779,0.9802244289658635,16.495324247866808,,,4.6406278782184485,0.5363610617197224,0.5867407539193131,SCC
gigapath,4000,0.5898786086316662,0.5700463560679152,0.6094165909359498,0.039484322,0.03316514939069748,0.042858296632766725,0.6489762710928298,0.6456622610603261,0.6589210169126232,0.971317921686747,0.9717387512550201,0.9767039909638554,17.07764384062418,,,4.794179479063,0.558793038296971,0.6136719843556525,SCC
musk,4000,0.6413768961030613,0.6140821167771586,0.6678723488239027,0.07314396,0.06373990178108216,0.07097615003585815,0.6631283785258797,0.6616332072698343,0.6758685631896294,0.9633215361445783,0.9670550200803213,0.9729334651104418,16.376715707893194,,,5.264487462279958,0.539606845821493,0.6045068235866562,SCC
dinov2,4000,0.47623089914836403,0.14224581016791385,0.48920240813873445,0.08687973,0.07924009263515472,0.09276943653821945,0.5405018644213726,0.5386450083972402,0.5554659951914792,0.963396234939759,0.9655172979417671,0.9689417620481928,23.26416389611238,,,5.496939936003695,0.5290122576986444,0.5735993766583397,SCC
