Model,Tau,CI_Lower,CI_Upper,Progression
virchow2,0.6117803133203644,0.3268808851274377,0.6972818495057418,breast_ductal
uni2,0.6632254954207842,0.44352643189305785,0.7350494998420157,breast_ductal
gigapath,0.508090978751204,0.1414537080480446,0.5458281550779065,breast_ductal
conch,0.5869309061844934,0.1805174024929761,0.6667933548712754,breast_ductal
musk,0.38916314537007324,-0.11843909049287991,0.6397231327259396,breast_ductal
dinov2,0.23297169457401262,0.0035925907572527953,0.4086193387285098,breast_ductal
