Model,Tau,CI_Lower,CI_Upper,Progression
virchow2,0.40618179164335627,-0.04695365850275199,0.682040100398425,breast_ductal
uni2,0.6058781227657782,0.16702890938354845,0.6693357030451156,breast_ductal
gigapath,0.25193466559399263,-0.22382691564762114,0.48256313664804307,breast_ductal
conch,0.3852738953628853,-0.08692128707433885,0.6678216169030685,breast_ductal
musk,0.32125044512416157,-0.11491885893008366,0.5585583407082177,breast_ductal
dinov2,0.2653821113005785,-0.22799046991336558,0.43613523658934106,breast_ductal
